sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target,pred,correct,proba_0,proba_1,proba_2,z_0,z_1,z_2,exp_neg_z_0,exp_neg_z_1,exp_neg_z_2,proba_0_str,proba_1_str,proba_2_str,z_0_str,z_1_str,z_2_str,exp_neg_z_0_str,exp_neg_z_1_str,exp_neg_z_2_str
5.6,3,4.1,1.3,1,1,TRUE,0.026820009,0.928765632,0.044414359,-1.349707615,2.195000614,-0.845292998,3.856297844,0.111358493,2.328660008,'0.0268200086,'0.9287656325,'0.0444143589,'-1.3497076154,'2.1950006136,'-0.8452929982,'3.8562978438,'0.1113584932,'2.3286600078
5.5,2.5,4,1.3,1,1,TRUE,0.019783301,0.937964259,0.04225244,-1.539232526,2.319641132,-0.780408605,4.661011695,0.098308859,2.182363809,'0.0197833008,'0.9379642591,'0.0422524402,'-1.5392325264,'2.3196411319,'-0.7804086054,'4.6610116947,'0.0983088592,'2.1823638091
5.5,2.6,4.4,1.2,1,1,TRUE,0.008641223,0.89779406,0.093564717,-2.341835237,2.301561297,0.04027394,10.40030609,0.100102432,0.960526277,'0.0086412235,'0.8977940599,'0.0935647166,'-2.3418352370,'2.3015612971,'0.0402739400,'10.4003060857,'0.1001024320,'0.9605262766
6.1,3,4.6,1.4,1,1,TRUE,0.004604125,0.828491795,0.166904079,-2.927706927,2.264947294,0.662759632,18.68473587,0.103835507,0.515426981,'0.0046041253,'0.8284917954,'0.1669040793,'-2.9277069268,'2.2649472943,'0.6627596325,'18.6847358686,'0.1038355071,'0.5154269810
5.8,2.6,4,1.2,1,1,TRUE,0.017494005,0.956972295,0.0255337,-1.460019045,2.541897167,-1.081878122,4.306041536,0.078716919,2.950215215,'0.0174940046,'0.9569722953,'0.0255337001,'-1.4600190450,'2.5418971670,'-1.0818781220,'4.3060415361,'0.0787169189,'2.9502152154
5,2.3,3.3,1,1,1,TRUE,0.121387884,0.875532957,0.003079159,0.566164241,2.542005963,-3.108170204,0.567698824,0.078708355,22.38005597,'0.1213878840,'0.8755329566,'0.0030791594,'0.5661642405,'2.5420059631,'-3.1081702036,'0.5676988239,'0.0787083553,'22.3800559672
5.6,2.7,4.2,1.3,1,1,TRUE,0.014351548,0.920412969,0.065235483,-1.891703468,2.269261187,-0.377557719,6.63065417,0.103388537,1.458717637,'0.0143515478,'0.9204129690,'0.0652354833,'-1.8917034675,'2.2692611866,'-0.3775577191,'6.6306541702,'0.1033885367,'1.4587176372
5.7,3,4.2,1.2,1,1,TRUE,0.019818801,0.93830633,0.041874869,-1.535166759,2.322278686,-0.787111927,4.642099579,0.098049906,2.197042037,'0.0198188009,'0.9383063302,'0.0418748689,'-1.5351667595,'2.3222786864,'-0.7871119270,'4.6420995794,'0.0980499059,'2.1970420369
5.7,2.9,4.2,1.3,1,1,TRUE,0.016957216,0.925534535,0.057508249,-1.740304289,2.259373668,-0.519069379,5.699077324,0.104415863,1.680463048,'0.0169572164,'0.9255345346,'0.0575082490,'-1.7403042887,'2.2593736680,'-0.5190693793,'5.6990773237,'0.1044158633,'1.6804630480
6.2,2.9,4.3,1.3,1,1,TRUE,0.008447173,0.935103412,0.056449415,-2.202112762,2.504712483,-0.302599721,9.044101359,0.081699085,1.353372629,'0.0084471734,'0.9351034119,'0.0564494146,'-2.2021127617,'2.5047124825,'-0.3025997208,'9.0441013594,'0.0816990845,'1.3533726291
5.1,2.5,3,1.1,1,1,TRUE,0.24319233,0.7555035,0.00130417,1.364918001,2.498449804,-3.863367805,0.255401618,0.082212345,47.62547488,'0.2431923299,'0.7555035001,'0.0013041700,'1.3649180007,'2.4984498039,'-3.8633678046,'0.2554016179,'0.0822123452,'47.6254748784
5.7,2.8,4.1,1.3,1,1,TRUE,0.019020525,0.936076284,0.04490319,-1.585056159,2.311122143,-0.726065984,4.879565405,0.099149929,2.066933244,'0.0190205252,'0.9360762845,'0.0449031903,'-1.5850561595,'2.3111221434,'-0.7260659839,'4.8795654046,'0.0991499287,'2.0669332437
6.3,3.3,6,2.5,2,2,TRUE,8.90E-07,0.003941876,0.996057235,-7.441642923,0.954747447,6.486895477,1705.550009,0.384909342,0.001523271,'0.0000008896,'0.0039418758,'0.9960572346,'-7.4416429233,'0.9547474466,'6.4868954767,'1705.5500085202,'0.3849093424,'0.0015232707
5.8,2.7,5.1,1.9,2,2,TRUE,0.000239197,0.162412493,0.83734831,-4.893771964,1.626835595,3.266936369,133.4560171,0.196550557,0.038123043,'0.0002391969,'0.1624124928,'0.8373483103,'-4.8937719637,'1.6268355945,'3.2669363691,'133.4560171058,'0.1965505567,'0.0381230433
7.1,3,5.9,2.1,2,2,TRUE,2.45E-06,0.025639805,0.97435774,-7.381763722,1.872065613,5.509698109,1606.42055,0.153805631,0.004047329,'0.0000024549,'0.0256398051,'0.9743577401,'-7.3817637222,'1.8720656130,'5.5096981092,'1606.4205503746,'0.1538056305,'0.0040473291
6.3,2.9,5.6,1.8,2,2,TRUE,3.09E-05,0.081934754,0.918034382,-6.061496217,1.822592312,4.238903904,429.016859,0.161606274,0.014423393,'0.0000308640,'0.0819347542,'0.9180343818,'-6.0614962166,'1.8225923122,'4.2389039044,'429.0168590166,'0.1616062735,'0.0144233926
6.5,3,5.8,2.2,2,2,TRUE,3.68E-06,0.017497758,0.982498558,-6.986431165,1.479202512,5.507228653,1081.853622,0.227819299,0.004057336,'0.0000036847,'0.0174977576,'0.9824985577,'-6.9864311652,'1.4792025124,'5.5072286528,'1081.8536215226,'0.2278192990,'0.0040573361
7.6,3,6.6,2.1,2,2,TRUE,5.48E-08,0.004663436,0.995336509,-9.355182555,1.995927148,7.359255407,11558.57142,0.135887608,0.000636672,'0.0000000548,'0.0046634365,'0.9953365087,'-9.3551825550,'1.9959271477,'7.3592554073,'11558.5714201630,'0.1358876079,'0.0006366723
4.9,2.5,4.5,1.7,2,1,FALSE,0.005680942,0.512888307,0.481430751,-2.980862125,1.52207891,1.458783215,19.70479732,0.218257677,0.232519028,'0.0056809420,'0.5128883069,'0.4814307511,'-2.9808621248,'1.5220789096,'1.4587832152,'19.7047973178,'0.2182576770,'0.2325190283
7.3,2.9,6.3,1.8,2,2,TRUE,6.16E-07,0.021442359,0.978557025,-8.244788462,2.212038875,6.032749588,3807.729895,0.10947721,0.002398889,'0.0000006165,'0.0214423588,'0.9785570247,'-8.2447884624,'2.2120388747,'6.0327495877,'3807.7298947508,'0.1094772105,'0.0023988889
6.7,2.5,5.8,1.8,2,2,TRUE,5.16E-06,0.053208319,0.946786518,-7.12001279,2.120576956,4.999435834,1236.466248,0.119962395,0.006741749,'0.0000051623,'0.0532083193,'0.9467865185,'-7.1200127898,'2.1205769562,'4.9994358336,'1236.4662475088,'0.1199623955,'0.0067417494
7.2,3.6,6.1,2.5,2,2,TRUE,6.47E-07,0.005793577,0.994205776,-7.781289335,1.318047497,6.463241837,2395.361253,0.267657394,0.001559731,'0.0000006474,'0.0057935768,'0.9942057758,'-7.7812893346,'1.3180474972,'6.4632418375,'2395.3612526023,'0.2676573939,'0.0015597311
6.5,3.2,5.1,2,2,2,TRUE,0.000298803,0.210898607,0.788802589,-4.812610687,1.746736043,3.065874644,123.05245,0.174342061,0.046613054,'0.0002988035,'0.2108986073,'0.7888025892,'-4.8126106869,'1.7467360425,'3.0658746444,'123.0524499566,'0.1743420609,'0.0466130542
6.4,2.7,5.3,1.9,2,2,TRUE,7.18E-05,0.137112449,0.862815741,-5.649490179,1.905045201,3.744444978,284.1465651,0.148815916,0.023648751,'0.0000718098,'0.1371124487,'0.8628157415,'-5.6494901793,'1.9050452013,'3.7444449779,'284.1465650762,'0.1488159158,'0.0236487510
6.8,3,5.5,2.1,2,2,TRUE,2.10E-05,0.06533117,0.934647811,-6.248099435,1.79369945,4.454399985,517.0292424,0.16634365,0.011627294,'0.0000210190,'0.0653311695,'0.9346478115,'-6.2480994345,'1.7936994496,'4.4543999850,'517.0292423668,'0.1663436500,'0.0116272943
5.7,2.5,5,2,2,2,TRUE,0.000225459,0.144695474,0.855079067,-4.901686681,1.562562046,3.339124635,134.5164748,0.209598382,0.035467992,'0.0002254589,'0.1446954736,'0.8550790675,'-4.9016866811,'1.5625620459,'3.3391246351,'134.5164748425,'0.2095983820,'0.0354679916
5.8,2.8,5.1,2.4,2,2,TRUE,6.77E-05,0.043404605,0.956527655,-5.339338026,1.12329693,4.216041096,208.3747259,0.325205844,0.01475695,'0.0000677406,'0.0434046047,'0.9565276547,'-5.3393380257,'1.1232969297,'4.2160410960,'208.3747259020,'0.3252058444,'0.0147569504
6.4,3.2,5.3,2.3,2,2,TRUE,5.09E-05,0.054161465,0.94578763,-5.59985792,1.369904769,4.229953151,270.3879879,0.25413116,0.014553072,'0.0000509051,'0.0541614645,'0.9457876304,'-5.5998579198,'1.3699047686,'4.2299531512,'270.3879879268,'0.2541311597,'0.0145530723
6.5,3,5.5,1.8,2,2,TRUE,5.50E-05,0.123278235,0.876666739,-5.796823591,1.917570275,3.879253317,329.252058,0.14696361,0.020666251,'0.0000550260,'0.1232782353,'0.8766667387,'-5.7968235911,'1.9175702745,'3.8792533166,'329.2520579755,'0.1469636099,'0.0206662506
7.7,3.8,6.7,2.2,2,2,TRUE,8.43E-08,0.003614062,0.996385854,-8.98404745,1.682372563,7.301674888,7974.84467,0.185932316,0.000674408,'0.0000000843,'0.0036140617,'0.9963858541,'-8.9840474504,'1.6823725626,'7.3016748878,'7974.8446704241,'0.1859323163,'0.0006744083
7.7,2.6,6.9,2.3,2,2,TRUE,3.11E-09,0.001001143,0.998998854,-10.75661134,1.925500001,8.831111337,46939.33665,0.145802837,0.000146116,'0.0000000031,'0.0010011429,'0.9989988539,'-10.7566113375,'1.9255000006,'8.8311113369,'46939.3366515572,'0.1458028371,'0.0001461158
6,2.2,5,1.5,2,2,TRUE,0.000385266,0.450362238,0.549252497,-4.775418528,2.288456252,2.486962277,118.5599249,0.101422913,0.083162207,'0.0003852655,'0.4503622378,'0.5492524966,'-4.7754185283,'2.2884562517,'2.4869622766,'118.5599249276,'0.1014229125,'0.0831622070
6.9,3.2,5.7,2.3,2,2,TRUE,5.53E-06,0.02392846,0.976066007,-6.817471573,1.554504943,5.26296663,913.6719341,0.211293959,0.005179915,'0.0000055336,'0.0239284596,'0.9760660068,'-6.8174715727,'1.5545049432,'5.2629666295,'913.6719340595,'0.2112939593,'0.0051799150
5.6,2.8,4.9,2,2,2,TRUE,0.000603914,0.190295177,0.809100909,-4.317716146,1.435184467,2.882531679,75.01710441,0.238071444,0.055992827,'0.0006039136,'0.1902951772,'0.8091009092,'-4.3177161464,'1.4351844674,'2.8825316790,'75.0171044114,'0.2380714435,'0.0559928274
7.7,2.8,6.7,2,2,2,TRUE,3.11E-08,0.004671484,0.995328485,-9.73401556,2.186209745,7.547805816,16882.20792,0.112341747,0.000527266,'0.0000000311,'0.0046714838,'0.9953284851,'-9.7340155605,'2.1862097447,'7.5478058158,'16882.2079189783,'0.1123417466,'0.0005272658
6.3,2.7,4.9,1.8,2,2,TRUE,0.00057891,0.392304148,0.607116941,-4.491324658,2.02732033,2.464004329,89.23957956,0.131687929,0.085093525,'0.0005789104,'0.3923041484,'0.6071169412,'-4.4913246582,'2.0273203296,'2.4640043286,'89.2395795630,'0.1316879290,'0.0850935254
6.7,3.3,5.7,2.1,2,2,TRUE,1.27E-05,0.038836618,0.961150682,-6.41993408,1.605583231,4.814350849,613.9626402,0.200772424,0.008112487,'0.0000127000,'0.0388366184,'0.9611506816,'-6.4199340797,'1.6055832311,'4.8143508486,'613.9626402008,'0.2007724240,'0.0081124866
7.2,3.2,6,1.8,2,2,TRUE,4.82E-06,0.051826031,0.948169146,-7.156947808,2.125153723,5.031794085,1282.989022,0.11941461,0.00652709,'0.0000048237,'0.0518260308,'0.9481691455,'-7.1569478077,'2.1251537228,'5.0317940850,'1282.9890215819,'0.1194146101,'0.0065270899
6.2,2.8,4.8,1.8,2,2,TRUE,0.001060393,0.455918671,0.543020936,-4.100727985,1.962947275,2.13778071,60.38423041,0.140443884,0.117916243,'0.0010603926,'0.4559186713,'0.5430209361,'-4.1007279850,'1.9629472753,'2.1377807097,'60.3842304120,'0.1404438836,'0.1179162432
6.1,3,4.9,1.8,2,2,TRUE,0.001010993,0.385610259,0.613378748,-4.117314501,1.826579532,2.290734969,61.39414675,0.160963197,0.101192062,'0.0010109931,'0.3856102591,'0.6133787478,'-4.1173145009,'1.8265795322,'2.2907349687,'61.3941467547,'0.1609631967,'0.1011920615
6.4,2.8,5.6,2.1,2,2,TRUE,1.05E-05,0.036349752,0.963639748,-6.525509626,1.623989738,4.901519887,682.3274165,0.197110708,0.007435274,'0.0000105007,'0.0363497516,'0.9636397477,'-6.5255096255,'1.6239897382,'4.9015198873,'682.3274165175,'0.1971107081,'0.0074352737
7.2,3,5.8,1.6,2,2,TRUE,1.68E-05,0.142504855,0.857478366,-6.629550352,2.417465235,4.212085117,757.141647,0.089147299,0.014815444,'0.0000167788,'0.1425048547,'0.8574783665,'-6.6295503522,'2.4174652347,'4.2120851174,'757.1416469894,'0.0891472988,'0.0148154442
7.4,2.8,6.1,1.9,2,2,TRUE,1.05E-06,0.029239903,0.970759043,-7.988030554,2.242743288,5.745287266,2945.49026,0.106166858,0.003197816,'0.0000010539,'0.0292399027,'0.9707590434,'-7.9880305543,'2.2427432884,'5.7452872659,'2945.4902603404,'0.1061668582,'0.0031978158
7.9,3.8,6.4,2,2,2,TRUE,7.01E-07,0.017654166,0.982345132,-8.095290439,2.038159775,6.057130664,3278.989054,0.130268213,0.002341109,'0.0000007014,'0.0176541665,'0.9823451322,'-8.0952904386,'2.0381597748,'6.0571306638,'3278.9890540544,'0.1302682133,'0.0023411087
6.4,2.8,5.6,2.2,2,2,TRUE,7.76E-06,0.027257166,0.97273507,-6.633960224,1.529582458,5.104377766,760.4879175,0.216626099,0.006070115,'0.0000077642,'0.0272571659,'0.9727350699,'-6.6339602241,'1.5295824576,'5.1043777664,'760.4879175400,'0.2166260990,'0.0060701148
6.3,2.8,5.1,1.5,2,2,TRUE,0.000523718,0.475753887,0.523722395,-4.573156052,2.238547483,2.334608569,96.84928932,0.10661325,0.096848385,'0.0005237175,'0.4757538873,'0.5237223952,'-4.5731560518,'2.2385474825,'2.3346085693,'96.8492893156,'0.1066132496,'0.0968483845
6.1,2.6,5.6,1.4,2,2,TRUE,6.20E-05,0.188942953,0.810995061,-5.833805249,2.18849421,3.64531104,341.656296,0.112085399,0.026113286,'0.0000619855,'0.1889429531,'0.8109950613,'-5.8338052493,'2.1884942096,'3.6453110398,'341.6562960201,'0.1120853987,'0.0261132863
7.7,3,6.1,2.3,2,2,TRUE,3.89E-07,0.011757204,0.988242406,-8.354383135,1.961460659,6.392922476,4248.76289,0.140652825,0.001673359,'0.0000003892,'0.0117572045,'0.9882424063,'-8.3543831349,'1.9614606587,'6.3929224762,'4248.7628902102,'0.1406528250,'0.0016733587
6.3,3.4,5.6,2.4,2,2,TRUE,1.15E-05,0.017438163,0.982550375,-6.228765154,1.098637318,5.130127836,507.1288707,0.33332499,0.005915804,'0.0000114617,'0.0174381633,'0.9825503750,'-6.2287651542,'1.0986373183,'5.1301278359,'507.1288707476,'0.3333249902,'0.0059158042
6.4,3.1,5.5,1.8,2,2,TRUE,6.70E-05,0.120009937,0.879923095,-5.658161978,1.832951007,3.825210971,286.6213417,0.159940884,0.021813833,'0.0000669681,'0.1200099370,'0.8799230949,'-5.6581619778,'1.8329510069,'3.8252109709,'286.6213417127,'0.1599408840,'0.0218138330
6,3,4.8,1.8,2,2,TRUE,0.00160152,0.440568747,0.557829733,-3.823404758,1.79370874,2.029696018,45.75974426,0.166342105,0.131375451,'0.0016015197,'0.4405687472,'0.5578297331,'-3.8234047583,'1.7937087399,'2.0296960184,'45.7597442589,'0.1663421047,'0.1313754508
6.9,3.1,5.4,2.1,2,2,TRUE,3.92E-05,0.093606424,0.906354331,-5.941452126,1.835560406,4.10589172,380.4870439,0.159524078,0.016475321,'0.0000392457,'0.0936064236,'0.9063543307,'-5.9414521265,'1.8355604064,'4.1058917201,'380.4870438808,'0.1595240784,'0.0164753209
6.7,3.1,5.6,2.4,2,2,TRUE,6.22E-06,0.020322262,0.979671522,-6.686724677,1.405612127,5.28111255,801.6921464,0.245216907,0.005086768,'0.0000062161,'0.0203222615,'0.9796715224,'-6.6867246768,'1.4056121269,'5.2811125499,'801.6921463931,'0.2452169066,'0.0050867684
6.9,3.1,5.1,2.3,2,2,TRUE,9.84E-05,0.120501347,0.879400219,-5.402548144,1.707484485,3.695063658,221.971311,0.181321336,0.024845872,'0.0000984337,'0.1205013472,'0.8794002191,'-5.4025481437,'1.7074844852,'3.6950636584,'221.9713109717,'0.1813213359,'0.0248458720
5.8,2.7,5.1,1.9,2,2,TRUE,0.000239197,0.162412493,0.83734831,-4.893771964,1.626835595,3.266936369,133.4560171,0.196550557,0.038123043,'0.0002391969,'0.1624124928,'0.8373483103,'-4.8937719637,'1.6268355945,'3.2669363691,'133.4560171058,'0.1965505567,'0.0381230433
6.8,3.2,5.9,2.3,2,2,TRUE,2.02E-06,0.012647369,0.987350607,-7.27936701,1.460895511,5.818471499,1450.069855,0.232028398,0.002972145,'0.0000020237,'0.0126473691,'0.9873506072,'-7.2793670101,'1.4608955110,'5.8184714990,'1450.0698549074,'0.2320283977,'0.0029721446
6.7,3.3,5.7,2.5,2,2,TRUE,3.76E-06,0.012154437,0.987841805,-6.853736474,1.227954109,5.625782365,947.4142901,0.292891189,0.003603743,'0.0000037575,'0.0121544373,'0.9878418052,'-6.8537364739,'1.2279541089,'5.6257823650,'947.4142901130,'0.2928911886,'0.0036037426
6.7,3,5.2,2.3,2,2,TRUE,5.52E-05,0.080005841,0.919939005,-5.667220769,1.612506523,4.054714246,289.2295806,0.199387219,0.017340435,'0.0000551539,'0.0800058411,'0.9199390050,'-5.6672207691,'1.6125065229,'4.0547142463,'289.2295805542,'0.1993872186,'0.0173404346
6.3,2.5,5,1.9,2,2,TRUE,0.000224054,0.250858174,0.748917772,-5.045084178,1.97567136,3.069412818,155.2573679,0.138668185,0.046448421,'0.0002240541,'0.2508581739,'0.7489177720,'-5.0450841782,'1.9756713599,'3.0694128183,'155.2573679317,'0.1386681847,'0.0464484205
6.5,3,5.2,2,2,2,TRUE,0.000136723,0.157215589,0.842647688,-5.257919608,1.789494353,3.468425255,192.0814706,0.167044614,0.031166071,'0.0001367233,'0.1572155891,'0.8426476876,'-5.2579196083,'1.7894943534,'3.4684252549,'192.0814706422,'0.1670446139,'0.0311660707
6.2,3.4,5.4,2.3,2,2,TRUE,4.50E-05,0.038654281,0.96130068,-5.574469753,1.18042002,4.394049733,263.6097403,0.307149702,0.012350611,'0.0000450387,'0.0386542809,'0.9613006804,'-5.5744697531,'1.1804200200,'4.3940497332,'263.6097403371,'0.3071497025,'0.0123506111
5.9,3,5.1,1.8,2,2,TRUE,0.000469606,0.235386177,0.764144217,-4.537235256,1.679853094,2.857382161,93.43212675,0.186401357,0.057418877,'0.0004696062,'0.2353861767,'0.7641442172,'-4.5372352556,'1.6798530944,'2.8573821612,'93.4321267514,'0.1864013574,'0.0574188771
