DEGC1PV,DEGC2PV,DEGC3PV,DEGC4PV,DEGC5PV,DEGC6PV,DEGC1SV,DEGC2SV,DEGC3SV,DEGC4SV,DEGC5SV,DEGC6SV,NM3/H.1PV,NM3/H.2PV,NM3/H.3PV,NM3/H.4PV,NM3/H.5PV,NM3/H.6PV,NM3/H.1SV,NM3/H.2SV,NM3/H.3SV,NM3/H.4SV,NM3/H.5SV,NM3/H.6SV,TEMP,FC1,FC2,FC3,FC4,FC5,FC6,mmH2O
729.3,716.3,793.5,788.4,841.1,768.1,1050.2,1070,1200,1180,1120,1100,2297,2925,2493,4236,1897,3778,2303,2897,2484,4224,1900,3778,423.9,12.3,7.9,9.7,13.7,8.5,30.2,500
1029.2,1055.1,1244.9,1204.5,1177.7,1146.4,1005,1070,1215,1205,1150,1245,2451,2883,2850,7520,1912,5455,2495,2943,2880,7554,1916,5457,544.1,13.2,12.4,17.9,20.9,9.2,41.8,596
1046.1,1016.7,1238.4,1184,1155.7,1145.9,1005,1070,1210,1200,1145,1130,2407,3097,2367,10479,1798,5564,2547,3180,1935,10694,1849,5703,485.1,12.7,12.4,15,26.6,7.4,40.5,618
988.1,1036,1218.9,1188.2,1146.3,1125.2,1005,1070,1215,1205,1150,1245,2441,2977,3673,10505,1912,4908,2495,2943,3621,10459,1916,4911,535.7,10.8,12.9,18,26.4,9.2,38.6,598
995.1,1012.3,1219.3,1171.1,1146.6,1142.3,1005,1070,1220,1190,1160,1230,3347,3562,3952,10801,2499,6231,3437,3637,4069,11203,2627,6548,517.4,17.4,16.3,20.9,29.8,19.4,53.2,497
659.4,601.9,640.2,608,558,527,1005,1070,1215,1200,1140,1130,2611,2289,2614,7705,1600,3292,2600,2200,2001,2450,1600,3298,463.7,9.2,7,15,20.2,4.1,24.5,600
1027.2,1061.7,1223.7,1199.1,1160.4,1174.7,1005,1070,1220,1200,1160,1230,3637,3931,6904,12821,2555,6379,3473,3707,6806,12834,2576,6422,552.2,12.1,13.3,26.4,32,17.4,49.7,596
1004.1,996.1,1198.1,1156.2,1155.7,1087.4,1005,1070,1220,1200,1150,1130,1696,2093,2262,6116,1302,4612,1604,1892,1993,6101,1194,4617,529.7,8,7,15,19.7,3,38.1,500
1015,1065.3,1223.4,1213.7,1150,1178.5,1005,1070,1220,1210,1140,1245,3534,4117,4359,12624,2246,6532,3535,4169,4313,12702,2179,6548,552.7,17.5,14.3,19,33.6,12.8,49.8,597
982.2,1029.7,1180.9,1132.3,1076.4,1093.9,1050.2,1070,1200,1180,1100,1100,1876,2588,5372,6332,4687,6903,1406,2304,5442,6188,4854,6979,478.2,10,7,20.6,17.3,41.1,53.9,500
956.6,985.9,1170.7,1133.2,993,983.4,1050.2,1070,1200,1180,1120,1100,1902,2897,3322,5864,2735,5529,1406,2897,3245,5892,2976,5918,458.3,10,9.8,11.8,17,21.3,46.1,500
1020.3,1049.1,1220.1,1196.1,1165,1186.7,1005,1070,1215,1200,1150,1130,3315,4138,4654,14875,1681,6364,3333,4169,4651,14817,1678,6361,502,12.4,15.2,20.4,35.7,5.8,45.9,619
992.1,1053.3,1210.6,1194.7,1153.9,1168.2,1005,1070,1220,1210,1140,1245,3545,4182,7183,14762,1672,6543,3535,4169,7088,14817,1678,6548,517.3,11.7,17.6,26.1,36.2,5.9,47.6,598
727.9,713.8,791.9,786.9,841.3,766.5,1050.2,1070,1200,1180,1120,1100,2327,2894,2479,4319,1899,3778,2303,2897,2484,4224,1900,3778,422.4,12,9.1,8.8,13.7,8.4,30.1,501
726.5,710.8,803.2,796.6,854.5,775.7,1050.2,1070,1200,1180,1120,1100,2326,2910,2493,4313,1896,3777,2303,2897,2484,4224,1900,3778,419.1,10,9.3,9.8,13.8,8.3,30.4,500
980.9,960,1009.4,999.4,1005.6,959.6,1005,1070,1210,1210,1140,1245,1710,2170,2542,3077,1356,3512,2200,2300,2239,3050,1103,3598,532.1,8,10,15,12.5,3,29,585
908.7,930.9,1020.6,1011.9,1088.1,1028.8,1005,1070,1210,1210,1140,1245,1921,2337,2943,3170,1517,4673,2200,2300,2239,3050,1518,4677,522.4,8,7.7,15,11.3,3.7,34.2,597
1053.7,1017.1,1257.6,1175.6,1153.3,1104.7,1005,1070,1220,1200,1160,1130,1931,2064,2163,3338,1296,4622,1560,1672,1754,3486,1325,4617,544.5,8,7,15,15.4,3.4,37.6,499
991.3,1057.1,1210.3,1185.6,1148.8,1130.2,1005,1070,1220,1195,1150,1130,2448,2716,4426,9122,2868,5776,2527,2758,4261,9011,2829,5733,535.3,14.4,12.7,22.1,27.5,24.2,49.4,501
1046.1,1016.7,1238.4,1184,1155.7,1145.9,1005,1070,1210,1200,1145,1130,2407,3097,2367,10479,1798,5564,2547,3180,1935,10694,1849,5703,485.1,12.7,12.4,15,26.6,7.4,40.5,618
978.4,1046.6,1216.8,1207.8,1140.8,1166.4,1005,1070,1220,1210,1140,1245,3514,4164,4508,13790,2498,6572,3535,4169,4533,13779,2492,6548,524.2,14,17.1,19.4,33.8,15,47.9,598
1040.7,1070.3,1228.6,1210.7,1135.7,1161,1005,1070,1220,1210,1140,1245,2859,3376,3348,9722,2301,6371,2918,3442,3367,9752,2323,6361,522.2,15.9,14.7,17.2,25.2,13.8,47.9,604
908,902.9,1129,1102.5,1075.6,1022.5,1005,1070,1215,1200,1140,1130,2596,2252,2369,4145,1700,4271,2600,2200,2001,4261,1700,4287,508.8,10.8,7,15,15.7,6.6,32.7,600
991,1044.1,1215.3,1204.7,1148.8,1116.9,1005,1070,1215,1205,1150,1245,2478,2908,2793,10559,1904,4883,2495,2943,2880,10459,1916,4911,570.5,14.8,13.8,18.5,28.2,11.2,41.2,596
986.5,1027,1216.9,1162.4,1146.8,1151.1,1005,1070,1220,1190,1160,1230,3529,3859,4102,10543,2447,6093,3196,3524,3881,10419,2355,5871,520.8,14.8,14.4,18,27.8,16.3,48.9,502
502.3,483.5,584.8,513.5,557.1,521.1,1005,1070,1210,1210,1140,1245,0,0,0,0,0,0,2200,2300,2239,2562,1298,1400,414.5,8,7.6,15,15,10,6,12
1060.9,1019.1,1259.1,1177.1,1154.1,1113.5,1005,1070,1220,1200,1160,1130,1914,2060,2159,3425,1383,4604,1544,1671,1753,3486,1429,4617,547.3,8,7,15,15.4,5.2,37.9,501
835.8,906.5,1093.5,1089.6,1009.9,1043.7,1005,1070,1215,1200,1140,1130,9641,11792,10318,12265,5105,7333,9664,11850,10227,12271,5114,7330,468.6,29,40,33.7,27.3,37.5,49.1,699
593.3,495.5,768.9,748.7,656.6,648.7,1005,1070,1210,1210,1140,1245,2415,2693,3579,4022,2443,2532,2200,2300,2239,3399,1298,2518,330.5,8,7.6,15,12,10,12.6,612
656.5,599.8,638,638,557.9,531.1,1005,1070,1215,1200,1140,1130,2585,2293,2676,7847,1600,3285,2600,2200,2001,2450,1600,3298,461.5,9,7,15,20.2,3.7,23.8,619
1133.2,1117.4,1293.4,1248.4,1251.9,1263.4,1005,1070,1250,1230,1250,1245,2172,2052,2481,2942,3276,5412,1768,1672,2017,2383,3279,5422,554,8,7,15,12,25.8,43.7,598
890.3,886.5,1116.9,1092.2,1067.2,1016.1,1005,1070,1215,1200,1140,1130,2583,2270,2500,4199,1699,4268,2600,2200,2001,4261,1700,4287,509.9,10.5,7,15,14.7,6.1,32.1,596
1066.8,1076.1,1246.7,1199.9,1158.2,1115.1,1005,1070,1210,1200,1140,1130,1681,2095,2314,4517,1315,4617,1604,1766,1873,4537,1066,4624,535.8,8,7,15,15.8,3,38,500
1084.6,1098.8,1263,1214.8,1180.3,1164.3,1005,1070,1220,1200,1255,1245,2262,2186,2817,3213,1443,3608,1837,2018,2283,2588,1298,3598,542.2,8,7,15,12,3,27.7,601
816.7,823.9,917.6,911.7,949.6,902,1005,1070,1210,1210,1140,1245,2142,2425,3219,3836,1558,3962,2200,2300,2239,2615,1516,3958,459.8,8,7,15,12,3,29,601
905,926.1,1015.2,1007.5,1088.2,1025.9,1005,1070,1210,1210,1140,1245,1953,2283,2940,3109,1513,4669,2200,2300,2239,3050,1516,4677,520.5,8,9.5,15,12.2,3.7,34.1,600
1008.3,989.8,1235,1173.6,1163.2,1100.9,1005,1070,1220,1200,1160,1130,1863,2116,2363,6194,1282,4613,1604,1892,2238,6101,1260,4617,527.8,8,7,15.4,18.9,3,38.1,501
811.8,825,954.5,943.7,948.6,896.5,1005,1070,1210,1210,1140,1245,2198,2513,3277,3761,1575,3983,2200,2300,2239,4000,1516,3958,436.8,8,7,15,12.6,3,28.3,602
1058.6,1052.2,1238.7,1194,1188.4,1137.2,1005,1070,1215,1200,1150,1130,1896,2249,2550,4815,1439,4290,1765,2207,2071,4837,1176,4287,531.1,7,7,15,15.8,3,32.8,619
1059.3,1080.7,1243.8,1218.8,1143,1163.2,1005,1070,1220,1210,1140,1245,2944,3485,3068,8447,2021,6024,2855,3395,3294,8417,2051,6158,518.6,12.5,12.7,19.5,22.2,10.6,45.8,601
1056,1076.5,1217.6,1198.2,1163.4,1103.7,1005,1070,1200,1190,1130,1130,1905,2144,2372,5914,1699,4492,1871,2018,2145,5619,1485,4287,566.9,8.1,7.6,15.4,18.1,7.3,37.2,498
1001.6,1054.3,1221.3,1200.3,1142.6,1157.2,1005,1070,1220,1210,1140,1245,3533,4183,4816,14947,3292,6546,3535,4169,4789,14817,3275,6548,540.5,13.4,17.4,21.1,35.1,23.6,48.5,599
1047.6,1002.8,1219.4,1195.2,1159.2,1149.7,1005,1070,1210,1200,1145,1130,2127,2589,2101,6141,1579,4845,1828,2322,1638,6001,1429,4406,529.5,7,7.8,15,17.9,3,32.3,618
999.4,1026,1202.5,1150.6,1108.9,1130.5,1050.2,1070,1210,1200,1120,1100,2835,3065,8010,9080,5385,7663,2911,3433,7979,9042,5389,7675,505,14.7,12.7,28.2,23.9,48.8,60.7,497
819.5,827.1,917,915.7,953.1,901.6,1005,1070,1210,1210,1140,1245,2133,2424,3181,3787,1543,3948,2200,2300,2239,2615,1516,3958,466.1,8,7,15,12,3,29.3,600
769.7,780.4,948,935.7,946,884.4,1005,1070,1210,1210,1140,1245,2232,2530,3375,3885,1630,3940,2200,2300,2239,3486,1516,3958,410.7,8,7,15,12,3,28.3,599
843.1,848.5,927.8,927.4,987.4,932.1,1005,1070,1210,1210,1140,1245,2063,2366,3071,3593,1502,4333,2200,2300,2239,2615,1288,4317,490.4,8,7,15,12,3,31.6,601
1003.9,1044.6,1222.2,1199.3,1180.2,1136.9,1005,1070,1215,1205,1150,1245,2534,2956,2893,8323,1915,4912,2495,2943,2880,8356,1916,4911,543.6,11.2,10.1,17.1,25.1,10.6,40.5,598
1117.5,1159.2,1263.2,1230,1147.8,1124.8,1005,1070,1220,1210,1150,1245,2107,2251,3076,4198,1449,5050,1942,2235,2479,2636,1358,5037,550,8,8,15,10,3,38.6,603
996.9,1002.1,1210.1,1173.5,1145.5,1172.3,1005,1070,1220,1200,1150,1130,3223,4078,4113,14900,2751,7002,3333,4169,4335,14817,2780,7016,508.2,14.7,16.3,22.4,35.6,18.6,51.2,621
1143.9,1114,1254.5,1230,1258.6,1260.9,1005,1070,1250,1230,1255,1245,2203,2022,2495,2959,3054,5440,1786,1666,2006,2392,3000,5037,544.8,8,7,15,12,22.6,41,604
1020.3,1054,1242.3,1218.2,1167.5,1188.1,1005,1070,1220,1200,1160,1230,3568,3830,3611,12637,1371,6559,3535,3811,2932,12489,1371,6548,542.3,16.8,14.4,18,32.5,4.3,53.5,501
731.6,717,794,788.5,843.6,768.5,1050.2,1070,1200,1180,1120,1100,2305,2901,2486,4222,1900,3779,2303,2897,2484,4224,1900,3778,423.2,10.9,10.1,9.4,14.4,8.3,30.1,500
1049.2,1022.9,1242.7,1190.5,1159.6,1145.2,1005,1070,1210,1200,1145,1130,2240,2703,2404,9183,1555,4857,2082,2595,1936,8743,1550,4779,491,7.8,9,15,22.5,3.6,34.1,622
1012.8,1065.3,1220.4,1211.5,1144.1,1169.3,1005,1070,1220,1210,1140,1245,3586,4252,4424,12919,1893,6588,3535,4169,4437,12920,1860,6548,520.1,12.1,13.5,20,31.5,8.2,48.2,603
994.9,1017.6,1221.5,1207.1,1137.3,1158.6,1005,1070,1215,1200,1150,1130,3339,4125,3406,13959,2299,6098,3333,4169,3354,13953,2299,6080,515,14.1,16.3,16.6,33.1,12.8,43.6,618
808.8,829.4,895.8,847.9,892,873.9,1005,1070,1215,1200,1140,1130,2618,2286,2613,2993,1598,3294,2600,2200,2001,2450,1600,3298,505.2,12.8,7,15,12,4.6,25.4,621
1019.8,1045.8,1228.1,1199.8,1159,1101.5,1005,1070,1210,1200,1140,1130,1810,2118,2429,5885,1366,4621,1604,1766,1969,5871,1107,4624,480,8,7,15,18.4,3,36.4,499
1069.7,1071.2,1229.7,1176,1184.5,1098.8,1005,1070,1200,1180,1160,1130,1983,2084,2092,3952,1306,4276,1871,2018,1700,3980,1067,4287,536.5,8,7,15,15.4,3,35.3,499
1093.4,1089.7,1223.6,1187.4,1160,1094,1005,1070,1200,1190,1130,1130,1856,2061,1889,4909,1230,4296,1871,2018,1531,4882,993,4287,546.7,10.2,7,15,17.4,3,37.4,500
1014.4,1044.1,1215.1,1179.5,1158.6,1183.5,1005,1070,1215,1200,1150,1130,3332,4115,4932,14880,1936,6564,3333,4169,4865,14817,1937,6548,500.4,12,14.7,20.9,35.6,9,47.2,626
741.6,690.1,839.1,842.5,839.3,771.5,1005,1070,1215,1200,1140,1130,2611,2300,2620,4212,1600,3958,2600,2200,2001,4067,1600,3958,476.5,10.3,7,15,12.2,4.1,28.7,599
1003.8,1025.2,1201.8,1199.3,1150.2,1184,1005,1070,1215,1200,1150,1130,3345,4231,4768,13926,2973,6359,3333,4169,4701,13963,2966,6361,526.1,15.5,15.5,20.6,34.1,20.7,47.1,624
1000.6,1055.8,1219.3,1208,1133.4,1158.1,1005,1070,1220,1210,1140,1245,3498,4158,4652,13406,2066,6535,3535,4169,4701,13377,2118,6548,536.6,16.2,17,20.6,32.7,11.6,48,601
720.1,695.3,910.2,896.3,910,835.6,1005,1070,1210,1210,1140,1245,2408,2644,3571,4004,1733,3956,2200,2300,2239,3486,1516,3958,353.2,8,7.6,15,12,3,26.5,600
907.4,902.2,1130.3,1102.9,1075.3,1025.2,1005,1070,1215,1200,1140,1130,2598,2249,2365,4349,1703,4301,2600,2200,2001,4261,1700,4287,511,10.9,7,15,14.1,6.6,32.6,599
1034.9,1026.9,1219.9,1210.1,1149.1,1132.5,1005,1070,1215,1205,1150,1245,2413,2854,2918,8245,1922,5332,2495,2943,2880,8298,1916,5301,539.2,11.4,11.1,15.5,23.9,10.5,42.9,601
952.3,1044.7,1206.2,1202,1143.6,1150,1005,1070,1215,1205,1150,1245,2499,2969,4692,10494,1916,5461,2495,2943,4736,10459,1916,5457,563.6,14.2,13.5,23.5,28.6,11.3,44.7,600
1029.4,1057.1,1223.2,1188.7,1171,1137.9,1005,1070,1215,1200,1150,1130,2000,2701,2475,7278,1480,5578,2513,3069,2086,7649,1594,6041,539.5,12.6,12.1,15,22.6,5.3,44.8,616
1027.4,1012.7,1226.6,1208.9,1162.8,1147.4,1005,1070,1210,1200,1145,1130,1995,2543,2128,6194,1504,4620,2058,2415,1839,6891,1576,4862,515.8,9.6,7.8,15,21.2,3.9,35.3,615
1044.2,1088.8,1258.8,1226.4,1159.7,1141.6,1005,1070,1215,1205,1150,1245,2476,2950,2884,7350,1915,5069,2495,2943,2880,7283,1916,5067,535,9.8,12.1,15.3,20.3,9.1,39.3,598
1027.6,1036.8,1229.5,1198,1194.6,1150,1005,1070,1210,1200,1145,1130,1955,2251,2275,5655,1434,4278,1765,2207,1838,5573,1390,4287,536.7,7,7,15,16.2,3,32.8,619
1041.7,1052.3,1199.2,1192.1,1154.9,1099.8,1005,1070,1210,1190,1160,1130,1787,2004,2611,7793,1171,4425,2134,2284,2825,8166,1173,4780,576.6,14.1,10.5,21.5,26.6,3.1,41.7,498
848.9,856.1,938.1,934.1,1008.8,952.4,1005,1070,1210,1210,1140,1245,2067,2409,3059,3586,1499,4323,2200,2300,2239,2615,1291,4317,493.1,8,7,15,12,3,31.7,602
1000.9,1000.1,1233,1171.9,1160.5,1117.5,1005,1070,1220,1200,1160,1130,1926,2091,2165,6074,1409,4612,1604,1892,1762,6101,1401,4617,530.7,8,7,15,19.1,4.4,37.8,498
1036,1035.6,1205.6,1195.5,1167.2,1149.6,1005,1070,1210,1200,1145,1130,2104,2384,2170,6273,1528,4351,1769,2207,1754,6445,1391,4289,497.1,7,7,15,19.3,3,30.6,615
1019.8,994,1215.4,1166.4,1142.7,1081,1005,1070,1220,1200,1150,1130,1667,2057,3870,6089,1368,4603,1606,1892,3779,6101,1419,4617,549.5,8,7,19.2,20.5,5.3,38.5,499
993.8,1060.8,1221.2,1213.8,1141,1170.7,1005,1070,1220,1210,1140,1245,3504,4173,4684,13312,1918,6562,3535,4169,4734,13319,1915,6548,530.5,14.5,17.5,21.1,32.8,9.4,47.7,598
1029.1,1001.5,1216.3,1179.3,1163.9,1139.9,1005,1070,1210,1200,1145,1130,1941,2552,1957,8487,1615,5045,2209,2804,1590,8639,1676,5171,542.2,10.5,11.4,15,22.9,6.8,38.8,617
982.6,967.5,1221.9,1144.4,1155.9,1143.4,1005,1070,1220,1200,1160,1130,1753,2096,3688,6314,3176,5290,1804,2064,4188,6859,3316,5450,558.2,8.6,7.9,25,23.8,29.9,46,500
1028.1,1043.9,1226.7,1184.9,1157.9,1181.3,1005,1070,1220,1200,1150,1130,3355,4166,4938,14868,1679,6717,3333,4169,4903,14817,1680,6735,499.6,13.7,15.8,22.2,35.7,6.2,48.8,618
1016.4,1066.2,1219.6,1209,1140.3,1164.6,1005,1070,1220,1210,1140,1245,3498,4188,4473,13220,2131,6553,3535,4169,4491,13106,2131,6548,536.7,15.9,15.3,21,30.9,11.5,48.5,601
887.5,883.9,1113.4,1088.5,1065.6,1012.2,1005,1070,1215,1200,1140,1130,2663,2238,2530,4360,1698,4291,2600,2200,2001,4261,1700,4287,504.4,10.5,7,15,13.6,6,31.9,599
813.9,782.4,1038.4,1001.6,995.7,920.7,1005,1070,1215,1200,1140,1130,2624,2262,2577,4121,1703,4293,2600,2200,2001,4261,1700,4287,501.6,9.8,7,15,15.2,5.9,31.7,601
1043.5,1067.7,1206.5,1195.8,1182.6,1151.6,1005,1070,1220,1200,1160,1245,2082,2420,2346,9629,1843,5675,2272,2796,2502,10076,1970,6080,580.3,9.2,12.1,16.8,29.7,12.3,49.2,597
959.4,1042.8,1206.8,1204.9,1146.7,1156.1,1005,1070,1215,1205,1150,1245,2483,2934,3762,9892,1914,5453,2495,2943,3801,9673,1916,5457,519.9,9,13,18.3,23.7,9,41.7,600
1016.3,1015.1,1234.6,1194.3,1157.6,1174.5,1005,1070,1220,1200,1160,1230,3305,3611,3630,10878,1380,6573,3327,3585,2940,10870,1400,6548,525.2,11.9,13.6,18,29.6,5.1,55.1,504
583,582.7,667.2,643.8,639.4,632.2,1005,1070,1210,1210,1140,1245,2354,2436,3028,4338,2084,1622,2200,2300,2239,2562,1298,1400,487.6,8,7.6,15,15,10,6,600
975,1025,1174,1123.9,1071.1,1080.3,1050.2,1070,1200,1180,1120,1100,1879,2592,5145,5927,4475,6411,1406,2262,5226,5916,4480,6424,476,10,7,20,18.6,37,50.5,500
724.4,708.3,800.4,794.3,851.9,774.1,1050.2,1070,1200,1180,1120,1100,2311,2917,2484,4144,1897,3782,2303,2897,2484,4224,1900,3778,419.8,10,7.8,8.7,14.8,8.3,30.3,500
990.9,1043.7,1223.1,1192.8,1147.3,1121.8,1005,1070,1215,1205,1150,1245,2444,2981,3395,10428,1911,4920,2495,2943,3339,10459,1916,4911,541.7,11.9,12.7,17.6,27,9.2,38.7,600
1003.7,1016.7,1207.6,1198.3,1161.1,1126.5,1005,1070,1215,1205,1150,1245,2499,2955,3269,9464,1924,4948,2495,2943,3358,9530,1916,4911,524.2,9.1,9.4,17.8,24.8,9.4,38.8,603
1019.1,1037.3,1225.5,1184.7,1164.2,1194,1005,1070,1220,1200,1150,1130,3351,4187,5426,14712,1799,6689,3333,4153,5369,14727,1709,6735,501.5,14.2,15.8,22.7,35.8,6.5,48.7,621
1016.3,1030.1,1226.7,1182.2,1188,1146.3,1005,1070,1215,1200,1150,1130,1945,2585,2674,7306,1445,5028,2160,2733,2135,7791,1406,4980,521.2,10.5,10.8,15,22.6,3,37.8,621
1023.4,1016.4,1225.9,1192.6,1153.4,1146.5,1005,1070,1215,1200,1140,1130,2635,3274,2601,11433,1433,4659,2507,3149,2069,11147,1230,4439,537.4,9.4,11.8,15,27.3,3,33.7,625
994.5,1014.8,1218.3,1206,1139.4,1166.6,1005,1070,1215,1200,1150,1130,3363,4185,3193,13150,2245,5957,3152,3992,3010,12827,2163,5720,516,12.1,15.5,15.5,29.9,11.1,41,620
725.3,709.8,800.5,794.1,853.6,775.6,1050.2,1070,1200,1180,1120,1100,2326,2901,2477,4321,1901,3777,2303,2897,2484,4224,1900,3778,419.1,10,9.3,9.9,13,8.3,30.3,500
995.6,1063,1221.2,1213.7,1141.3,1168.3,1005,1070,1220,1210,1140,1245,3508,4147,4725,13558,1973,6559,3535,4169,4807,13711,1958,6548,526.8,13.6,17.1,22,34.4,9.8,47.7,604
669.1,611.1,663.8,615.5,569.5,526.7,1005,1070,1215,1200,1140,1130,2558,2196,2402,7337,1607,3325,2600,2200,2001,2450,1600,3298,477.4,12.4,7.3,15,20.2,5.1,25,599
780.2,744.5,928.8,918.9,900.3,853.7,1005,1070,1215,1200,1140,1130,2619,2242,2574,4783,1596,4312,2600,2200,2001,4648,1600,4287,495,11.9,7,15,13.3,4.7,31.6,601
799.2,876.7,1057.6,1058.7,1011.7,1044.3,1005,1070,1215,1200,1140,1130,10887,13428,11718,13870,5844,8335,10958,13437,11596,13914,5798,8310,459.3,32.4,42.5,33.7,27.9,37.9,49.5,889
1038.4,1043.6,1244.2,1203.8,1195.2,1160.6,1005,1070,1215,1200,1150,1130,1984,2313,2715,4099,1464,4489,1765,2207,2203,4084,1198,4485,512.8,7,7,15,14.1,3,34.1,617
1004.7,1065.7,1224.2,1214,1136,1167,1005,1070,1220,1210,1140,1245,3520,4173,4150,12571,2643,6553,3535,4169,4157,12548,2668,6548,546.5,17.1,16.9,18.6,30.9,17.3,48.3,597
541,476.9,680.4,684.8,640.9,610,1005,1070,1210,1210,1140,1245,2375,2649,3552,5001,2416,1878,2200,2300,2239,2562,1298,1400,330.9,8,7.6,15,15,10,6,601
993,1070.9,1221.7,1206.5,1139.2,1175.6,1005,1070,1220,1210,1140,1245,3479,4275,6293,14799,3034,6540,3535,4169,6283,14817,3046,6548,549.2,15.7,14.5,25.3,37.2,22.2,49.4,597
997.7,1006.4,1207.6,1194,1150.5,1152.1,1005,1070,1210,1200,1145,1130,3309,4039,4609,14032,1971,6100,3333,4169,4735,13993,1971,6080,517.4,15.4,16.7,23.1,34.4,10,44.8,618
1062.9,1076.8,1218.1,1193.9,1160.6,1099.1,1005,1070,1200,1190,1130,1130,1840,2033,1881,5388,1210,4290,1871,2018,1544,5307,982,4287,561,8.8,7,15,18.1,3,37.8,501
996.2,1072,1226.2,1208.6,1142.9,1177.1,1005,1070,1220,1210,1140,1245,3520,4180,6539,14692,3065,6579,3535,4169,6583,14817,3044,6548,537.8,15.8,16.5,26,37,21.2,47.7,602
772.3,716.7,863.6,865.8,665.3,630.1,1005,1070,1215,1200,1140,1130,2562,2324,2726,7439,1602,3271,2600,2200,2001,2450,1600,3298,499,11.4,7,15,20.2,4,24.4,619
834.9,839.7,923,920,954.9,913.6,1005,1070,1210,1210,1140,1245,2057,2395,3113,3624,1519,3969,2200,2300,2239,2615,1516,3958,484.2,8,7,15,12,3,29.3,603
989.7,1062.9,1218.1,1201.9,1160.5,1154.6,1005,1070,1220,1200,1140,1130,2150,2858,4559,8963,2587,4715,2394,2778,4651,9535,2530,4780,541.6,11.6,10.4,23.4,29.2,18.3,39.2,501
999.9,1051.5,1216,1200.4,1125.9,1157.2,1005,1070,1215,1200,1150,1130,3287,4181,7151,14953,2295,6064,3333,4169,7066,14805,2299,6080,517.7,14.1,16.1,27.2,34.6,13.2,44.1,617
1071,1078.6,1230.7,1206.8,1162,1183.5,1005,1070,1220,1200,1160,1230,3367,3705,6163,12034,2606,6509,3535,3811,5951,12055,2627,6548,555.5,16.4,18,24.2,33.3,19.5,52.6,591
908.3,930.2,1019.5,1011.1,1084.5,1026.7,1005,1070,1210,1210,1140,1245,1936,2337,2949,3143,1519,4671,2200,2300,2239,3050,1517,4677,522.2,8,8,15,12,3.7,34.2,599
710.4,605.9,895,852.8,942.2,806.8,1005,1070,1210,1210,1140,1245,2415,2660,3592,4028,1746,2513,2200,2300,2239,3399,1516,2518,345.8,8,7.6,15,12,3,13.1,600
1028.9,1032.9,1207.2,1198.1,1173.3,1149.2,1005,1070,1210,1200,1145,1130,2087,2353,2168,6675,1518,4441,1950,2325,1837,7136,1508,4647,499.1,7,7.2,15,21.4,3,33.5,621
994.9,1029.3,1197.1,1157.6,1117.7,1120,1050.2,1070,1210,1200,1110,1100,1874,2561,3957,6040,3647,6298,1406,2207,4071,5949,3569,6296,499.3,10,7,16.7,17.1,27.9,50,502
959,936.8,1007.9,997.2,1008.3,966.3,1005,1070,1210,1210,1140,1245,1896,2276,2932,3043,1487,3591,2200,2300,2239,3050,1207,3598,525.4,8,7.9,15,12.8,3,26.8,599
600.9,602.7,684.9,663.5,656.8,651.3,1005,1070,1210,1210,1140,1245,2355,2427,2993,4285,2067,1617,2200,2300,2239,2562,1298,1400,499.2,8,7.6,15,15,10,6,601
641.3,646.8,724.5,706,699.5,696.9,1005,1070,1210,1210,1140,1245,2294,2412,2969,4263,2069,1601,2200,2300,2239,2562,1298,1400,514.9,8,7.6,15,15,10,6,599
1009.7,1036.2,1217.2,1191.7,1147.9,1136.1,1005,1070,1215,1205,1150,1245,2545,2940,3860,10181,1916,5065,2495,2943,3695,10418,1916,5067,540.4,11,10.6,17.7,29.9,10.7,41.6,601
739.1,729.2,929.2,916.3,935.4,863.2,1005,1070,1210,1210,1140,1245,2211,2536,3176,3627,1578,3987,2200,2300,2239,3486,1516,3958,359.6,8,7.6,15,12,3,28.5,532
927,942.2,1126.6,1099.5,956.5,931,1050.2,1070,1200,1180,1120,1100,1910,2884,3025,5943,2371,5480,1406,2897,3061,5892,2369,5490,452.1,10,9.4,12,17.9,14.2,43.2,500
998.7,999.2,1211.7,1171.7,1139.5,1158,1005,1070,1210,1200,1145,1130,3330,4183,3911,14020,2309,6522,3333,4169,3892,13993,2299,6548,501.1,14.7,16.1,19.9,34.5,12.9,47.8,617
987.6,1047.8,1215.3,1201.4,1152.5,1136.4,1005,1070,1220,1200,1160,1130,2304,2628,5266,9815,3360,5771,2574,2966,5512,10257,3718,6349,575.7,16,13.6,28.8,32.8,36.6,56.1,496
991.5,1069.2,1242.4,1210.2,1178.9,1192,1005,1070,1220,1205,1150,1245,2283,2997,3120,9362,2300,6192,2317,2914,3119,9224,2299,6174,544.3,13.5,11.9,18.3,23,13.4,46.4,600
698.9,657.9,688.2,658.9,656.7,644,1005,1070,1215,1200,1140,1130,2621,2427,2726,3214,1601,3336,2600,2200,2001,2450,1600,3298,487.5,9.3,7,15,12,4,24,620
1121.4,1075.5,1245.7,1175.3,1175.1,1110.3,1005,1070,1180,1180,1160,1130,2001,2065,2036,2705,1322,4499,1619,1775,1644,2616,1313,4485,527.5,8,7,15,12.2,3.3,37,504
1011.1,995.9,1221.7,1173.6,1148,1160.2,1005,1070,1210,1200,1145,1130,2457,3222,1803,12023,1834,5630,2979,3652,1903,12508,1970,6080,540.2,14.4,14.3,16.3,34.5,11.1,47.1,615
